Movie	Released on	URL	Word	Count
Hamara Ghar (1950)	1950	https://www.lyricsbogie.com/movies/hamara-ghar-1950/teri-tirchi-nazar.html	gore	1
Gentleman (1989)	1989	https://www.lyricsbogie.com/movies/gentleman-1989/chhori-pat-gayi-re.html	gori	2
Ek Paheli Leela (2015)	2015	https://www.lyricsbogie.com/movies/ek-paheli-leela-2015/desi-look.html	gore	38
Andhon Ka Sahara (1948)	1948	https://www.lyricsbogie.com/movies/andhon-ka-sahara-1948/ek-bholi-bhaali-gori-ne.html	gori	13
Jaag Utha Insan (1984)	1984	https://www.lyricsbogie.com/movies/jaag-utha-insan-1984/mera-naam-likh-de.html	gori	3
Hum To Mohabbat Karega (2000)	2000	https://www.lyricsbogie.com/movies/hum-to-mohabbat-karega-2000/leh-liya-leh-liya.html	gori	2
Roop Tera Mastana (1972)	1972	https://www.lyricsbogie.com/movies/roop-tera-mastana-1972/buddhe-pe-aa-gayi-jawani.html	gori	2
Maan Gaye Ustad (1981)	1981	https://www.lyricsbogie.com/movies/maan-gaye-ustad-1981/ek-chhatri-aur-hum-hai.html	gore	1
One 2 Ka 4 (2001)	2001	https://www.lyricsbogie.com/movies/one-2-ka-4-2001/sona-nahin-na-sahi.html	gore	1
Janam Janam (1988)	1988	https://www.lyricsbogie.com/movies/janam-janam-1988/kahe-dag-mag-teri.html	gori	1
Sirf Tum (1999)	1999	https://www.lyricsbogie.com/movies/sirf-tum-1999/kabhi-to-kudi-phans-jayegi.html	goriye	2
Satyam Shivam Sundaram: Love Sublime (1978)	1978	https://www.lyricsbogie.com/movies/satyam-shivam-sundaram-love-sublime-1978/chanchal-sheetal-nirmal-komal.html	gore	2
Mere Sajana Saath Nibhana (1992)	1992	https://www.lyricsbogie.com/movies/mere-sajana-saath-nibhana-1992/nakhre-dikha-ke-dil-ko.html	gori	2
Mere Sajana Saath Nibhana (1992)	1992	https://www.lyricsbogie.com/movies/mere-sajana-saath-nibhana-1992/nakhre-dikha-ke-dil-ko.html	gore	2
Mere Sajana Saath Nibhana (1992)	1992	https://www.lyricsbogie.com/movies/mere-sajana-saath-nibhana-1992/nakhre-dikha-ke-dil-ko.html	goriya	4
Saajan (1947)	1947	https://www.lyricsbogie.com/movies/saajan-1947/o-babu-aji-babu-gali-mein.html	gori	5
Ganga Tere Desh Mein (1988)	1988	https://www.lyricsbogie.com/movies/ganga-tere-desh-mein-1988/yeh-duniya-pagal-khana-hai.html	gora	1
Aahuti (1950)	1950	https://www.lyricsbogie.com/movies/aahuti-1950/lehron-se-khele-chanda.html	gori	4
Aap Ki Khatir (1977)	1977	https://www.lyricsbogie.com/movies/aap-ki-khatir-1977/shola-re.html	gora	1
Honeymoon (1973)	1973	https://www.lyricsbogie.com/movies/honeymoon-1973/do-dil-miley-gul-e-gunche.html	gorey	3
Honeymoon (1973)	1973	https://www.lyricsbogie.com/movies/honeymoon-1973/do-dil-miley-gul-e-gunche.html	goriyaa	2
Honeymoon (1973)	1973	https://www.lyricsbogie.com/movies/honeymoon-1973/do-dil-miley-gul-e-gunche.html	gori	2
Honeymoon (1973)	1973	https://www.lyricsbogie.com/movies/honeymoon-1973/do-dil-miley-gul-e-gunche.html	goreyaa	2
Panaah (1992)	1992	https://www.lyricsbogie.com/movies/panaah-1992/thoda-matake-se-paani.html	goriye	9
Ghar Parivaar (1991)	1991	https://www.lyricsbogie.com/movies/ghar-parivaar-1991/beech-bajariya-ladi-najariya.html	gori	3
Aashiq (2001)	2001	https://www.lyricsbogie.com/movies/aashiq-2001/aashiq-mujhe-aashiq.html	gori	1
Dholak (1951)	1951	https://www.lyricsbogie.com/movies/dholak-1951/aise-rasiya-ka.html	gori	4
Des Pardes (1978)	1978	https://www.lyricsbogie.com/movies/des-pardes-1978/nazar-lage-na-sathiyon.html	gori	12
